INPUT SPACE DOWN
TRACE_ACTIVE_AFTER_SPACE
HUDCMD_046 all=0087 op=D0 lop=0 sx=168 sy=256 dx=096 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=6028 HL=0808
HUDCMD_047 all=0088 op=D0 lop=0 sx=152 sy=256 dx=104 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=6828 HL=0808
HUDCMD_048 all=0089 op=D0 lop=0 sx=152 sy=256 dx=112 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=7028 HL=0808
HUDCMD_049 all=0090 op=D0 lop=0 sx=176 sy=256 dx=120 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=7828 HL=0808
HUDCMD_050 all=0091 op=D0 lop=0 sx=128 sy=264 dx=128 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=8028 HL=0808
HUDCMD_051 all=0092 op=D0 lop=0 sx=136 sy=264 dx=136 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=8828 HL=0808
HUDCMD_052 all=0093 op=D0 lop=0 sx=144 sy=264 dx=144 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=9028 HL=0808
HUDCMD_053 all=0094 op=D0 lop=0 sx=152 sy=264 dx=152 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=9828 HL=0808
HUDCMD_054 all=0095 op=D0 lop=0 sx=224 sy=280 dx=160 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=A028 HL=0808
HUDCMD_055 all=0096 op=D0 lop=0 sx=232 sy=280 dx=168 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=A828 HL=0808
HUDCMD_056 all=0097 op=D0 lop=0 sx=240 sy=280 dx=176 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=B028 HL=0808
HUDCMD_057 all=0098 op=D0 lop=0 sx=136 sy=256 dx=184 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=B828 HL=0808
HUDCMD_058 all=0099 op=D0 lop=0 sx=128 sy=256 dx=192 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=C028 HL=0808
HUDCMD_059 all=0100 op=D0 lop=0 sx=136 sy=256 dx=200 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=C828 HL=0808
HUDCMD_060 all=0101 op=D0 lop=0 sx=128 sy=256 dx=208 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=D028 HL=0808
HUDCMD_061 all=0102 op=D0 lop=0 sx=136 sy=256 dx=216 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=D828 HL=0808
HUDCMD_062 all=0103 op=D0 lop=0 sx=128 sy=256 dx=224 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=E028 HL=0808
HUDCMD_063 all=0104 op=D0 lop=0 sx=168 sy=256 dx=232 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=E828 HL=0808
HUDCMD_064 all=0105 op=D0 lop=0 sx=128 sy=256 dx=240 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=F028 HL=0808
HUDCMD_065 all=0106 op=D0 lop=0 sx=136 sy=256 dx=248 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=F828 HL=0808
HUDCMD_066 all=0107 op=D0 lop=0 sx=128 sy=264 dx=000 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=0030 HL=0808
HUDCMD_067 all=0108 op=D0 lop=0 sx=136 sy=264 dx=008 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=0830 HL=0808
HUDCMD_068 all=0109 op=D0 lop=0 sx=144 sy=264 dx=016 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=1030 HL=0808
HUDCMD_069 all=0110 op=D0 lop=0 sx=152 sy=264 dx=024 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=1830 HL=0808
HUDCMD_070 all=0111 op=D0 lop=0 sx=128 sy=280 dx=032 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=2030 HL=0808
HUDCMD_071 all=0112 op=D0 lop=0 sx=136 sy=280 dx=040 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=2830 HL=0808
HUDCMD_072 all=0113 op=D0 lop=0 sx=144 sy=280 dx=048 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=3030 HL=0808
HUDCMD_073 all=0114 op=D0 lop=0 sx=152 sy=280 dx=056 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=3830 HL=0808
HUDCMD_074 all=0115 op=D0 lop=0 sx=112 sy=256 dx=064 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=4030 HL=0808
HUDCMD_075 all=0116 op=D0 lop=0 sx=120 sy=256 dx=072 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=4830 HL=0808
HUDCMD_076 all=0117 op=D0 lop=0 sx=112 sy=256 dx=080 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=5030 HL=0808
HUDCMD_077 all=0118 op=D0 lop=0 sx=120 sy=256 dx=088 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=5830 HL=0808
HUDCMD_078 all=0119 op=D0 lop=0 sx=144 sy=256 dx=096 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=6030 HL=0808
HUDCMD_079 all=0120 op=D0 lop=0 sx=152 sy=256 dx=104 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=6830 HL=0808
HUDCMD_080 all=0121 op=D0 lop=0 sx=152 sy=256 dx=112 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=7030 HL=0808
HUDCMD_081 all=0122 op=D0 lop=0 sx=120 sy=256 dx=120 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=7830 HL=0808
HUDCMD_082 all=0123 op=D0 lop=0 sx=128 sy=264 dx=128 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=8030 HL=0808
HUDCMD_083 all=0124 op=D0 lop=0 sx=136 sy=264 dx=136 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=8830 HL=0808
HUDCMD_084 all=0125 op=D0 lop=0 sx=144 sy=264 dx=144 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=9030 HL=0808
