ROM Vampire Killer SHA1 5EF7D03B138A2023F6DEF241B671C666F97ED83B
MACHINE C-BIOS_MSX2+
EXTENSIONS ERROR wrong # args: should be "ext extension"
DEBUG_LIST {VDP palette} ioports joystickports {Printer Port} {PSG regs} {VDP status regs} {VDP register latch status} {C-BIOS Main ROM romblocks} {C-BIOS MSX-MUSIC regs} {slotted memory} keymatrix {physical VRAM} {Main RAM regs} {C-BIOS Logo ROM romblocks} MapperIO {VDP palette latch status} {Vampire Killer - Akumaj? Dracula} {VDP regs} memory VRAM {C-BIOS Main ROM} {C-BIOS Sub ROM} {C-BIOS Logo ROM} {C-BIOS Sub ROM romblocks} {VDP data latch value} {CPU regs} {Vampire Killer - Akumaj? Dracula romblocks} {VRAM access status} {C-BIOS MSX-MUSIC ROM} {Main RAM} {VRAM pointer} {Real time clock SRAM}
VDP_DATA_061_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=C403 DE=83A0 HL=0000
VDP_DATA_062_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=C303 DE=83A0 HL=0000
VDP_DATA_063_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=C203 DE=83A0 HL=0000
VDP_DATA_064_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=C103 DE=83A0 HL=0000
VDP_DATA_065_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=C003 DE=83A0 HL=0000
VDP_DATA_066_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=BF03 DE=83A0 HL=0000
VDP_DATA_067_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=BE03 DE=83A0 HL=0000
VDP_DATA_068_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=BD03 DE=83A0 HL=0000
VDP_DATA_069_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=BC03 DE=83A0 HL=0000
VDP_DATA_070_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=BB03 DE=83A0 HL=0000
VDP_DATA_071_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=BA03 DE=83A0 HL=0000
VDP_DATA_072_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=B903 DE=83A0 HL=0000
VDP_DATA_073_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=B803 DE=83A0 HL=0000
VDP_DATA_074_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=B703 DE=83A0 HL=0000
VDP_DATA_075_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=B603 DE=83A0 HL=0000
VDP_DATA_076_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=B503 DE=83A0 HL=0000
VDP_DATA_077_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=B403 DE=83A0 HL=0000
VDP_DATA_078_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=B303 DE=83A0 HL=0000
VDP_DATA_079_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=B203 DE=83A0 HL=0000
VDP_DATA_080_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=B103 DE=83A0 HL=0000
VDP_CTRL_017_VAL_00 PC=027C SP=F2F8 AF=0044 BC=0800 DE=FBCA HL=0800
VDP_CTRL_018_VAL_8E PC=0280 SP=F2F8 AF=8E44 BC=0800 DE=FBCA HL=0800
VDP_CTRL_019_VAL_00 PC=0283 SP=F2F8 AF=0044 BC=0800 DE=FBCA HL=0800
VDP_CTRL_020_VAL_48 PC=028A SP=F2F8 AF=480C BC=0800 DE=FBCA HL=0800
VDP_CTRL_021_VAL_00 PC=027C SP=F2F8 AF=0044 BC=0020 DE=FBCA HL=2000
VDP_CTRL_022_VAL_8E PC=0280 SP=F2F8 AF=8E44 BC=0020 DE=FBCA HL=2000
VDP_CTRL_023_VAL_00 PC=0283 SP=F2F8 AF=0044 BC=0020 DE=FBCA HL=2000
VDP_CTRL_024_VAL_60 PC=028A SP=F2F8 AF=6024 BC=0020 DE=FBCA HL=2000
VDP_CTRL_025_VAL_F5 PC=0232 SP=F2FC AF=F542 BC=F507 DE=FBCA HL=2000
VDP_CTRL_026_VAL_87 PC=0237 SP=F2FC AF=8784 BC=F507 DE=FBCA HL=2000
VDP_CTRL_027_VAL_00 PC=027C SP=F2FA AF=0044 BC=0800 DE=1BBF HL=0800
VDP_CTRL_028_VAL_8E PC=0280 SP=F2FA AF=8E44 BC=0800 DE=1BBF HL=0800
VDP_CTRL_029_VAL_00 PC=0283 SP=F2FA AF=0044 BC=0800 DE=1BBF HL=0800
VDP_CTRL_030_VAL_48 PC=028A SP=F2FA AF=480C BC=0800 DE=1BBF HL=0800
PSG_IDX_001_VAL_0F PC=1807 SP=F2FC AF=0F43 BC=0098 DE=238F HL=0800
PSG_DAT_002_VAL_8F PC=180B SP=F2FA AF=8F43 BC=0098 DE=238F HL=0800
PSG_IDX_003_VAL_08 PC=1807 SP=F2FC AF=0843 BC=0098 DE=2300 HL=0800
PSG_DAT_004_VAL_00 PC=180B SP=F2FA AF=0043 BC=0098 DE=2300 HL=0800
PSG_IDX_005_VAL_09 PC=1807 SP=F2FC AF=0909 BC=0098 DE=2300 HL=0800
PSG_DAT_006_VAL_00 PC=180B SP=F2FA AF=0009 BC=0098 DE=2300 HL=0800
PSG_IDX_007_VAL_0A PC=1807 SP=F2FC AF=0A09 BC=0098 DE=2300 HL=0800
PSG_DAT_008_VAL_00 PC=180B SP=F2FA AF=0009 BC=0098 DE=2300 HL=0800
PSG_IDX_009_VAL_07 PC=1807 SP=F2FC AF=0709 BC=0098 DE=23B8 HL=0800
PSG_DAT_010_VAL_B8 PC=180B SP=F2FA AF=B809 BC=0098 DE=23B8 HL=0800
VDP_CTRL_031_VAL_A0 PC=0403 SP=F2D6 AF=A0B4 BC=A001 DE=EA80 HL=0AFD
VDP_CTRL_032_VAL_81 PC=0408 SP=F2D6 AF=8184 BC=A001 DE=EA80 HL=0AFD
