WRT_019 hl=1A1A a=96 pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=04,02 rest=00,00 draw=96@1A,10
WRT_020 hl=1A1B a=94 pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=04,03 rest=00,00 draw=94@1B,10
WRT_021 hl=1A1C a=94 pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=04,04 rest=00,00 draw=94@1C,10
WRT_022 hl=1A1D a=96 pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=04,05 rest=00,00 draw=96@1D,10
WRT_023 hl=1A3A a=97 pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=05,02 rest=00,00 draw=97@1A,11
WRT_024 hl=1A3B a=95 pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=05,03 rest=00,00 draw=95@1B,11
WRT_025 hl=1A3C a=9B pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=05,04 rest=00,00 draw=9B@1C,11
WRT_026 hl=1A3D a=97 pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=05,05 rest=00,00 draw=97@1D,11
WRT_027 hl=1A5A a=98 pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=06,02 rest=00,00 draw=98@1A,12
WRT_028 hl=1A5B a=93 pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=06,03 rest=00,00 draw=93@1B,12
