AFTER_TIMER pc=6177 sp=F350 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_TRANSITION pc=617A sp=F350 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ENTITIES pc=617D sp=F350 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_PLAYER_SM pc=6186 sp=F350 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ALL_SM pc=6189 sp=F350 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_SFX pc=6192 sp=F350 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ANIM pc=6195 sp=F350 top=6198/6198 bank=06/06 irq=000E inirq=00
LOOP_START pc=6165 sp=F34E top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_INPUT pc=6171 sp=F34E top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_TIMER pc=6177 sp=F34E top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_TRANSITION pc=617A sp=F34E top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ENTITIES pc=617D sp=F34E top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_PLAYER_SM pc=6186 sp=F34E top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ALL_SM pc=6189 sp=F34E top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_SFX pc=6192 sp=F34E top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ANIM pc=6195 sp=F34E top=6198/6198 bank=06/06 irq=000F inirq=00
LOOP_START pc=6165 sp=F34C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_INPUT pc=6171 sp=F34C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TIMER pc=6177 sp=F34C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TRANSITION pc=617A sp=F34C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ENTITIES pc=617D sp=F34C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_PLAYER_SM pc=6186 sp=F34C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ALL_SM pc=6189 sp=F34C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_SFX pc=6192 sp=F34C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ANIM pc=6195 sp=F34C top=6198/6198 bank=06/06 irq=000F inirq=00
LOOP_START pc=6165 sp=F34A top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_INPUT pc=6171 sp=F34A top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TIMER pc=6177 sp=F34A top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TRANSITION pc=617A sp=F34A top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ENTITIES pc=617D sp=F34A top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_PLAYER_SM pc=6186 sp=F34A top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ALL_SM pc=6189 sp=F34A top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_SFX pc=6192 sp=F34A top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ANIM pc=6195 sp=F34A top=6198/6198 bank=06/06 irq=000F inirq=00
LOOP_START pc=6165 sp=F348 top=6198/6198 bank=06/06 irq=000F inirq=00
