right_before pc=19D0 sp=F366 ret=6195 bank=01/02/03/03 flow=01 screen=00 irq=0227 inirq=00 input=00 btn=00 key8=FF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,179,160 pos=8,80
BP_task_input_249 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0227 inirq=00 input=00 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,179,160 pos=8,80
BP_task_input_250 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0228 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,179,160 pos=8,80
BP_task_input_251 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0229 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,180,160 pos=8,80
BP_task_input_252 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=022A inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,180,160 pos=8,80
BP_task_input_253 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=022B inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,180,160 pos=8,80
BP_task_input_254 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=022C inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,181,160 pos=8,80
BP_task_input_255 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=022D inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,181,160 pos=8,80
BP_task_input_256 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=022E inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,181,160 pos=8,80
BP_task_input_257 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=022F inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,182,160 pos=8,80
BP_task_input_258 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0230 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,182,160 pos=8,80
BP_task_input_259 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0231 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,182,160 pos=8,80
BP_task_input_260 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0232 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,183,160 pos=8,80
BP_task_input_261 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0233 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,183,160 pos=8,80
BP_task_input_262 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0234 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,183,160 pos=8,80
BP_task_input_263 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0235 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,184,160 pos=8,80
right_during pc=4A86 sp=F358 ret=634F bank=01/02/03/03 flow=01 screen=00 irq=0235 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,184,160 pos=8,80
BP_task_input_264 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0236 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,184,160 pos=8,80
BP_task_input_265 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0237 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,184,160 pos=8,80
