first_SPC_DOWN
second_SPC_DOWN
START_update_all_entities pc=7861 op=3A,B4,DF sp=F37A af=004C bc=0200 de=0000 hl=DEB4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_037_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=0002 bc=1010 de=000F hl=DF43 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_038_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=1010 de=0010 hl=DF44 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_039_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=001A bc=0F11 de=0010 hl=DF44 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_040_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=0F11 de=0011 hl=DF45 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_041_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=000A bc=0E12 de=0011 hl=DF45 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_042_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=0E12 de=0012 hl=DF46 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_043_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=000A bc=0D13 de=0012 hl=DF46 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_044_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=0D13 de=0013 hl=DF47 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_045_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=000A bc=0C14 de=0013 hl=DF47 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_046_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=0C14 de=0014 hl=DF48 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_047_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=000A bc=0B15 de=0014 hl=DF48 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_048_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=0B15 de=0015 hl=DF49 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_049_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=000A bc=0A16 de=0015 hl=DF49 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_050_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=0A16 de=0016 hl=DF4A p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_051_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=000A bc=0917 de=0016 hl=DF4A p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_052_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=0917 de=0017 hl=DF4B p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_053_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=000A bc=0818 de=0017 hl=DF4B p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_054_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=0818 de=0018 hl=DF4C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_055_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=0002 bc=0719 de=0018 hl=DF4C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_056_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=0719 de=0019 hl=DF4D p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_057_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=0002 bc=061A de=0019 hl=DF4D p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
